ea_id,strategy,family,symbol,timeframe,force_symbol,run_strategy,balance,risk_pct_target,hist_max_dd,lot_step,net_profit,realized_dd,realized_dd_pct,equity_dd_pct,trades,first_trade,last_trade,win_rate_pct,hist_max_loss_streak,hist_max_loss_streak_days,hist_max_streak_cost,hist_avg_loss_streak,hist_max_win_streak,largest_single_loss,dd_vs_target,report_path
GoldReaper_strategy3_Daily_XAUUSD.a_Daily_REALTICKS,GoldReaper_strategy3_Daily,Gold Reaper,XAUUSD.a,Daily,XAUUSD.a,1,100000,5.0,35.0,700.0,1432.45,899.98,0.9,1.35,8,2026-05-04 19:19:49,2026-08-05 09:21:53,50.0,3,3,891.43,2.0,4,853.09,0.18,C:\BulkBackTest\Proxy_3m_RealTicks\reports\GoldReaper_strategy3_Daily_XAUUSD.a_Daily_REALTICKS.htm
GoldReaper_strategy4_H4_XAUUSD.a_H4_REALTICKS,GoldReaper_strategy4_H4,Gold Reaper,XAUUSD.a,H4,XAUUSD.a,1,100000,5.0,52.0,1040.0,10782.97,2640.07,2.53,3.14,19,2026-05-05 04:05:02,2026-08-06 03:35:38,57.9,2,2,1090.22,1.14,2,808.68,0.51,C:\BulkBackTest\Proxy_3m_RealTicks\reports\GoldReaper_strategy4_H4_XAUUSD.a_H4_REALTICKS.htm
GoldReaper_strategy5_H1_XAUUSD.a_H1_REALTICKS,GoldReaper_strategy5_H1,Gold Reaper,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,110.0,2200.0,1326.44,866.24,0.85,1.16,32,2026-05-01 17:19:11,2026-08-12 19:59:06,75.0,2,2,817.31,1.33,8,817.31,0.17,C:\BulkBackTest\Proxy_3m_RealTicks\reports\GoldReaper_strategy5_H1_XAUUSD.a_H1_REALTICKS.htm
GoldReaper_strategy6_H1_XAUUSD.a_H1_REALTICKS,GoldReaper_strategy6_H1,Gold Reaper,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,140.0,2800.0,2614.84,570.96,0.55,0.74,30,2026-05-01 17:15:31,2026-08-12 21:09:49,83.3,1,1,570.29,1.0,10,570.29,0.11,C:\BulkBackTest\Proxy_3m_RealTicks\reports\GoldReaper_strategy6_H1_XAUUSD.a_H1_REALTICKS.htm
GoldReaper_strategy7_H1_XAUUSD.a_H1_REALTICKS,GoldReaper_strategy7_H1,Gold Reaper,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,90.0,1800.0,-478.07,2768.97,2.72,3.61,31,2026-05-01 17:25:10,2026-08-12 19:56:29,67.7,3,3,1673.9,1.43,5,1255.45,0.54,C:\BulkBackTest\Proxy_3m_RealTicks\reports\GoldReaper_strategy7_H1_XAUUSD.a_H1_REALTICKS.htm
GoldReaper_strategy8_H1_XAUUSD.a_H1_REALTICKS,GoldReaper_strategy8_H1,Gold Reaper,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,130.0,2600.0,1556.73,788.37,0.79,1.07,40,2026-05-01 17:26:13,2026-08-12 19:49:46,22.5,8,5,784.32,3.88,3,770.16,0.16,C:\BulkBackTest\Proxy_3m_RealTicks\reports\GoldReaper_strategy8_H1_XAUUSD.a_H1_REALTICKS.htm
GoldReaper_strategy9_H1_XAUUSD.a_H1_REALTICKS,GoldReaper_strategy9_H1,Gold Reaper,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,700.0,14000.0,653.13,543.89,0.54,0.62,193,2026-05-01 08:15:00,2026-08-12 15:31:00,75.1,5,3,236.02,1.55,15,127.55,0.11,C:\BulkBackTest\Proxy_3m_RealTicks\reports\GoldReaper_strategy9_H1_XAUUSD.a_H1_REALTICKS.htm
GoldScalp_H1_A_XAUUSD.a_H1_REALTICKS,GoldScalp_H1_A,Gold Scalp,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,25.0,500.0,10526.0,2509.0,2.49,3.0,99,2026-05-01 17:00:42,2026-08-12 15:43:06,53.5,3,2,2194.0,1.77,8,1097.0,0.5,C:\BulkBackTest\Proxy_3m_RealTicks\reports\GoldScalp_H1_A_XAUUSD.a_H1_REALTICKS.htm
GoldScalp_H1_B_XAUUSD.a_H1_REALTICKS,GoldScalp_H1_B,Gold Scalp,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,30.0,600.0,10189.08,4293.59,3.83,4.26,100,2026-05-01 17:01:00,2026-08-12 15:43:08,83.0,3,3,2519.05,1.31,35,910.51,0.77,C:\BulkBackTest\Proxy_3m_RealTicks\reports\GoldScalp_H1_B_XAUUSD.a_H1_REALTICKS.htm
GoldScalp_H1_C_XAUUSD.a_H1_REALTICKS,GoldScalp_H1_C,Gold Scalp,XAUUSD.a,H1,XAUUSD.a,1,100000,5.0,15.0,300.0,52403.19,5129.96,4.54,4.89,102,2026-05-01 17:12:25,2026-08-12 15:43:02,75.5,3,2,3255.09,1.25,14,2222.78,0.91,C:\BulkBackTest\Proxy_3m_RealTicks\reports\GoldScalp_H1_C_XAUUSD.a_H1_REALTICKS.htm
